?cls	?pred	?val	?synType
<https://w3id.org/pmd/co/PMD_0050132>	<http://www.w3.org/2000/01/rdf-schema#label>	"transparent glass-ceramics"@en	
<https://w3id.org/pmd/co/PMD_0000991>	<http://www.w3.org/2000/01/rdf-schema#label>	"3d printer"@en	
<https://w3id.org/pmd/co/PMD_0000991>	<http://www.w3.org/2000/01/rdf-schema#label>	"3D-Drucker"@de	
<https://w3id.org/pmd/co/PMD_0020151>	<http://www.w3.org/2000/01/rdf-schema#label>	"internal energy"@en	
<https://w3id.org/pmd/co/PMD_0000576>	<http://www.w3.org/2000/01/rdf-schema#label>	"colorimeter"@en	
<https://w3id.org/pmd/co/PMD_0000576>	<http://www.w3.org/2000/01/rdf-schema#label>	"Farbmessgerät"@de	
<https://w3id.org/pmd/co/PMD_0000656>	<http://www.w3.org/2000/01/rdf-schema#label>	"gas chromatography process"@en	
<https://w3id.org/pmd/co/PMD_0000656>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gaschromatographie Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0020002>	<http://www.w3.org/2000/01/rdf-schema#label>	"precipitate role"@en	
<https://w3id.org/pmd/co/PMD_0000922>	<http://www.w3.org/2000/01/rdf-schema#label>	"scanning electron microscope"@en	
<https://w3id.org/pmd/co/PMD_0000922>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rasterelektronenmikroskop"@de	
<http://purl.obolibrary.org/obo/IAO_0000225>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolescence reason specification"@en	
<https://w3id.org/pmd/co/PMD_0000537>	<http://www.w3.org/2000/01/rdf-schema#label>	"brinell hardness"@en	
<https://w3id.org/pmd/co/PMD_0000592>	<http://www.w3.org/2000/01/rdf-schema#label>	"cut function"@en	
<https://w3id.org/pmd/co/PMD_0000592>	<http://www.w3.org/2000/01/rdf-schema#label>	"Trennen Funktion"@de	
<https://w3id.org/pmd/co/PMD_0001016>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray diffraction process"@en	
<https://w3id.org/pmd/co/PMD_0001016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beugungsprozess"@de	
<https://w3id.org/pmd/co/PMD_0050145>	<http://www.w3.org/2000/01/rdf-schema#label>	"45S5 Bioglass"@en	
<http://purl.obolibrary.org/obo/CHEBI_33342>	<http://www.w3.org/2000/01/rdf-schema#label>	"zirconium atom"	
<https://w3id.org/pmd/co/PMD_0000523>	<http://www.w3.org/2000/01/rdf-schema#label>	"application of substance"@en	
<https://w3id.org/pmd/co/PMD_0050131>	<http://www.w3.org/2000/01/rdf-schema#label>	"lithium disilicate glass-ceramics"@en	
<https://w3id.org/pmd/co/PMD_0000935>	<http://www.w3.org/2000/01/rdf-schema#label>	"sizing saw"@en	
<https://w3id.org/pmd/co/PMD_0000935>	<http://www.w3.org/2000/01/rdf-schema#label>	"Formatkreissäge"@de	
<https://w3id.org/pmd/co/PMD_0000773>	<http://www.w3.org/2000/01/rdf-schema#label>	"hardness"@en	
<https://w3id.org/pmd/co/PMD_0050095>	<http://www.w3.org/2000/01/rdf-schema#label>	"bioactive ceramics"@en	
<https://w3id.org/pmd/co/PMD_0000990>	<http://www.w3.org/2000/01/rdf-schema#label>	"thin layer chromatography system"@en	
<https://w3id.org/pmd/co/PMD_0000990>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dünnschichtchromatographiesystem"@de	
<https://w3id.org/pmd/co/PMD_0050081>	<http://www.w3.org/2000/01/rdf-schema#label>	"electroceramics"@en	
<http://purl.obolibrary.org/obo/CHEBI_32999>	<http://www.w3.org/2000/01/rdf-schema#label>	"europium atom"	
<https://w3id.org/pmd/co/PMD_0000520>	<http://www.w3.org/2000/01/rdf-schema#label>	"application of heat flux"@en	
<http://purl.obolibrary.org/obo/CHEBI_28694>	<http://www.w3.org/2000/01/rdf-schema#label>	"copper atom"	
<https://w3id.org/pmd/co/PMD_0000816>	<http://www.w3.org/2000/01/rdf-schema#label>	"laser spectroscopy"@en	
<https://w3id.org/pmd/co/PMD_0000816>	<http://www.w3.org/2000/01/rdf-schema#label>	"Laserspektroskopie"@de	
<http://purl.obolibrary.org/obo/IAO_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"action specification"@en	
<https://w3id.org/pmd/co/PMD_0000885>	<http://www.w3.org/2000/01/rdf-schema#label>	"pole figure"@en	
<https://w3id.org/pmd/co/PMD_0050004>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermoplastics"@en	
<https://w3id.org/pmd/co/PMD_0000536>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brinell 2.5 62.5 ISO 6506"@en	
<https://w3id.org/pmd/co/PMD_0000654>	<http://www.w3.org/2000/01/rdf-schema#label>	"functional material"@en	
<https://w3id.org/pmd/co/PMD_0000802>	<http://www.w3.org/2000/01/rdf-schema#label>	"irradiation process"@en	
<http://purl.obolibrary.org/obo/CHEBI_33355>	<http://www.w3.org/2000/01/rdf-schema#label>	"bohrium atom"	
<https://w3id.org/pmd/co/PMD_0000871>	<http://www.w3.org/2000/01/rdf-schema#label>	"occurence of magnetic field"@en	
<http://purl.obolibrary.org/obo/CHEBI_30440>	<http://www.w3.org/2000/01/rdf-schema#label>	"thallium atom"	
<https://w3id.org/pmd/co/PMD_0020031>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of germanium"@en	
<https://w3id.org/pmd/co/PMD_0000951>	<http://www.w3.org/2000/01/rdf-schema#label>	"stochastic simulation"@en	
<https://w3id.org/pmd/co/PMD_0000057>	<http://www.w3.org/2000/01/rdf-schema#label>	"melting function"@en	
<https://w3id.org/pmd/co/PMD_0000057>	<http://www.w3.org/2000/01/rdf-schema#label>	"Schmelzfunktion"@de	
<https://w3id.org/pmd/co/PMD_0020023>	<http://www.w3.org/2000/01/rdf-schema#label>	"metallic grain structures"@en	
<http://purl.obolibrary.org/obo/CHEBI_33341>	<http://www.w3.org/2000/01/rdf-schema#label>	"titanium atom"	
<http://purl.obolibrary.org/obo/CHEBI_26708>	<http://www.w3.org/2000/01/rdf-schema#label>	"sodium atom"	
<https://w3id.org/pmd/co/PMD_0050094>	<http://www.w3.org/2000/01/rdf-schema#label>	"zirconia-based ceramics"@en	
<http://purl.obolibrary.org/obo/CHEBI_24431>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical entity"	
<http://purl.obolibrary.org/obo/IAO_0000102>	<http://www.w3.org/2000/01/rdf-schema#label>	"data about an ontology part"@en	
<https://w3id.org/pmd/co/PMD_0020143>	<http://www.w3.org/2000/01/rdf-schema#label>	"process chain"@en	
<https://w3id.org/pmd/co/PMD_0000829>	<http://www.w3.org/2000/01/rdf-schema#label>	"magneto electrical property analyzing process"@en	
<https://w3id.org/pmd/co/PMD_0000829>	<http://www.w3.org/2000/01/rdf-schema#label>	"Magnetische Elektrische Eigenschaften Analyseverfahren"@de	
<http://purl.obolibrary.org/obo/CHEBI_22984>	<http://www.w3.org/2000/01/rdf-schema#label>	"calcium atom"	
<https://w3id.org/pmd/co/PMD_0000667>	<http://www.w3.org/2000/01/rdf-schema#label>	"grinding machine"@en	
<https://w3id.org/pmd/co/PMD_0000667>	<http://www.w3.org/2000/01/rdf-schema#label>	"Schleifmaschine"@de	
<https://w3id.org/pmd/co/PMD_0000780>	<http://www.w3.org/2000/01/rdf-schema#label>	"heat treatment device"@en	
<https://w3id.org/pmd/co/PMD_0000780>	<http://www.w3.org/2000/01/rdf-schema#label>	"Wärmebehandlungsgerät"@de	
<https://w3id.org/pmd/co/PMD_0000815>	<http://www.w3.org/2000/01/rdf-schema#label>	"laboratory role"@en	
<https://w3id.org/pmd/co/PMD_0000884>	<http://www.w3.org/2000/01/rdf-schema#label>	"physical simulation"@en	
<https://w3id.org/pmd/co/PMD_0050003>	<http://www.w3.org/2000/01/rdf-schema#label>	"ionic bond"@en	
<https://w3id.org/pmd/co/PMD_0000964>	<http://www.w3.org/2000/01/rdf-schema#label>	"supervised machine learning"	
<https://w3id.org/pmd/co/PMD_0000964>	<http://www.w3.org/2000/01/rdf-schema#label>	"supervised learning"@de	
<https://w3id.org/pmd/co/PMD_0050055>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxide ceramics"@en	
<http://purl.obolibrary.org/obo/IAO_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"objective specification"@en	
<https://w3id.org/pmd/co/PMD_0000653>	<http://www.w3.org/2000/01/rdf-schema#label>	"fracture toughness testing process"@en	
